"","smokes","sex","friends","too_much_alkohol","martial_status","doing_sports","weight","income","goes_to_church","goes_to_cinema","goes_to_restaurant","drugs","law_breaking","job","class","age","education_level","unstable_income","strenuous_work","overloaded_at_work","unfair_work","income_stressful","hedonism"
"379","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"387","0","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_no","_yes","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_yes","_no","_yes","_no"
"392","0","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_no"
"393","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"440","1","male","_medium","_yes","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city 20-100 thou.","_above_60","_Primary","_yes","_no","_yes","_yes","_yes","_no"
"478","0","male","_many","_no","_married","_yes","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"479","0","female","_medium","_no","_married","_yes","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"547","0","male","_small","_no","_divorced/separated/widowed","_no","_overweight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_above_60","_middle","_no","_no","_yes","_no","_no","_no"
"549","0","female","_small","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_no","_yes","_yes","_yes","_yes","_no"
"660","1","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_yes"," village","_above_60","_Primary","_yes","_yes","_yes","_yes","_yes","_yes"
"743","0","female","_small","_no","_married","_yes","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_no","_no","_yes","_no"
"753","1","male","_medium","_no","_single","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"771","1","female","_medium","_no","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_no","_yes"
"785","0","female","_medium","_no","_single","_no","_normal_weight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"786","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"792","0","female","_small","_no","_divorced/separated/widowed","_yes","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Higher","_no","_no","_no","_no","_yes","_no"
"818","1","female","_small","_no","_single","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_Primary","_yes","_no","_no","_no","_yes","_no"
"827","0","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"880","0","male","_medium","_no","_married","_yes","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"881","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"885","1","female","_small","_no","_divorced/separated/widowed","_yes","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"890","0","male","_many","_no","_married","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Higher","_no","_no","_no","_no","_yes","_no"
"891","0","female","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"910","0","male","_medium","_no","_single","_yes","_underweight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_no"," city 20-100 thou.","_below_40","_middle","_no","_no","_no","_no","_no","_yes"
"914","1","female","_medium","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"999","0","male","_small","_no","_single","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"1001","1","male","_many","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1003","0","female","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1017","1","male","_small","_no","_single","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"1018","1","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"1042","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"1046","0","male","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_no","_no","_no","_no","_no","_no"
"1076","1","male","_small","_no","_married","_no","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"1110","0","female","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_Higher","_no","_no","_yes","_no","_no","_no"
"1112","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1130","0","female","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_no","_no","_no","_no","_yes","_yes"
"1149","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"1150","0","male","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1159","1","male","_medium","_yes","_married","_yes","_overweight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"1160","0","male","_small","_no","_single","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"1161","1","female","_many","_no","_married","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"1165","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1167","1","male","_small","_yes","_married","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_no","_yes","_no"
"1168","0","female","_medium","_no","_single","_yes","_underweight","_1st_quantile","_no","_yes","_yes","_no","_no","_no"," city less than 20 thou.","_below_40","_middle","_no","_no","_no","_no","_no","_no"
"1225","0","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"1226","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"1227","0","male","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_no"
"1239","1","male","_many","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_yes","_no","_no","_no"," village","_between_40_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"1256","0","male","_small","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"1329","0","male","_medium","_no","_single","_yes","_overweight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1330","0","female","_medium","_no","_single","_no","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1350","0","male","_medium","_no","_divorced/separated/widowed","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 200-500 thou.","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1425","0","female","_small","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"1434","0","male","_many","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 200-500 thou.","_below_40","_Higher","_yes","_yes","_yes","_yes","_yes","_no"
"1450","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_yes","_yes","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_yes"
"1522","0","female","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_Higher","_yes","_no","_yes","_yes","_yes","_yes"
"1569","1","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1570","1","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_no","_no","_no","_no","_no"
"1590","0","female","_medium","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1593","0","male","_medium","_no","_married","_yes","_normal_weight","_3rd_quantile","_no","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_no","_no","_yes","_no","_no"
"1594","0","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_yes","_no","_no","_no"," city less than 20 thou.","_between_40_60","_Higher","_no","_no","_no","_no","_yes","_no"
"1595","1","female","_many","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"1642","0","male","_many","_no","_married","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"1643","1","female","_medium","_no","_married","_yes","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"1654","0","male","_small","_yes","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_yes","_yes","_no","_no","_yes","_yes"
"1662","0","female","_many","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_yes","_yes","_no"
"1663","0","female","_medium","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_yes","_yes","_no","_yes","_no"
"1693","1","female","_small","_no","_single","_no","_normal_weight","_3rd_quantile","_yes","_no","_yes","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_no","_yes","_no","_yes","_no","_no"
"1702","0","male","_medium","_no","_married","_no","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"1733","1","male","_many","_no","_married","_no","_normal_weight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1734","0","female","_many","_no","_single","_yes","_normal_weight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," village","_below_40","_Higher","_yes","_no","_yes","_yes","_yes","_yes"
"1735","0","male","_medium","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_yes"
"1742","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_yes","_no","_no","_no","_yes","_no"
"1757","0","male","_small","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"1758","0","female","_small","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1759","0","male","_small","_no","_married","_no","obesity","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"1761","0","female","_medium","_no","_married","_yes","_normal_weight","_1st_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_no","_no","_no","_yes","_yes"
"1774","0","male","_medium","_no","_married","_yes","_overweight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"1775","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_no","_no"
"1803","1","male","_small","_no","_single","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"1809","1","male","_small","_no","_married","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_Primary","_no","_no","_no","_no","_yes","_no"
"1810","0","female","_small","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_middle","_no","_no","_no","_no","_no","_yes"
"1820","0","female","_many","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"1821","1","male","_many","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"1869","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"1903","0","female","_many","_no","_married","_yes","obesity","_2nd_quantile","_yes","_yes","_yes","_no","_no","_no"," city 200-500 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"1946","1","male","_small","_yes","_single","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city 200-500 thou.","_below_40","_middle","_no","_no","_no","_yes","_yes","_yes"
"1980","0","female","_small","_no","_divorced/separated/widowed","_yes","_overweight","_2nd_quantile","_yes","_yes","_yes","_no","_no","_no"," city 200-500 thou.","_above_60","_Higher","_no","_no","_no","_no","_yes","_no"
"2005","0","female","_medium","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"2006","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," city 200-500 thou.","_below_40","_Higher","_no","_yes","_yes","_yes","_yes","_no"
"2007","0","male","_medium","_no","_married","_yes","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"2015","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 200-500 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"2034","1","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"2035","0","female","_medium","_no","_single","_no","_overweight","_3rd_quantile","_yes","_yes","_yes","_no","_no","_yes"," city 200-500 thou.","_below_40","_Higher","_no","_no","_yes","_yes","_yes","_no"
"2036","1","male","_medium","_no","_married","_yes","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," city 200-500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"2095","0","male","_many","_no","_married","_no","_overweight","_4th_quantile","_yes","_yes","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_yes"
"2096","0","female","_medium","_no","_single","_yes","obesity","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_no","_yes","_yes","_no","_yes","_no"
"2151","0","female","_small","_no","_married","_no","_normal_weight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_no"
"2158","0","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"2164","0","female","_small","_no","_divorced/separated/widowed","_no","obesity","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"2175","0","male","_small","_no","_married","_yes","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"2181","0","male","_small","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_no","_yes"
"2182","0","male","_small","_yes","_married","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_yes","_no"
"2197","0","male","_small","_no","_married","_no","_normal_weight","_4th_quantile","_no","_no","_yes","_no","_no","_no"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"2228","0","male","_small","_no","_married","_yes","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city 20-100 thou.","_below_40","_Higher","_no","_no","_no","_no","_no","_no"
"2229","0","female","_small","_no","_married","_no","_underweight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_below_40","_Higher","_yes","_no","_no","_no","_yes","_yes"
"2230","1","female","_small","_no","_divorced/separated/widowed","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"2322","0","female","_many","_no","_married","_yes","_normal_weight","_4th_quantile","_yes","_yes","_yes","_no","_no","_yes"," city less than 20 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_no"
"2376","1","female","_small","_no","_single","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"2414","0","male","_small","_no","_married","_no","obesity","_3rd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"2439","0","female","_small","_no","_married","_yes","_overweight","_3rd_quantile","_no","_yes","_no","_no","_no","_yes"," village","_above_60","_middle","_no","_yes","_yes","_no","_yes","_no"
"2440","1","male","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_middle","_yes","_no","_no","_no","_yes","_no"
"2447","0","female","_small","_no","_single","_yes","_normal_weight","_3rd_quantile","_no","_yes","_no","_no","_no","_yes"," village","_below_40","_Higher","_no","_yes","_yes","_no","_no","_no"
"2448","1","male","_many","_no","_married","_yes","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_yes","_yes","_yes"
"2449","0","female","_medium","_no","_married","_yes","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_yes","_yes","_no","_yes","_yes","_no"
"2457","0","male","_medium","_no","_married","_yes","_overweight","_4th_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"2458","0","female","_medium","_no","_married","_yes","_normal_weight","_2nd_quantile","_no","_no","_yes","_no","_no","_yes"," city 20-100 thou.","_between_40_60","_middle","_yes","_yes","_yes","_yes","_yes","_yes"
"2475","1","male","_small","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_yes","_no","_yes","_no"
"2488","0","male","_small","_no","_married","_yes","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city less than 20 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"2534","0","male","_medium","_no","_divorced/separated/widowed","_yes","_overweight","_3rd_quantile","_no","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"2543","0","female","_many","_no","_divorced/separated/widowed","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"2593","0","male","_small","_no","_married","_no","obesity","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_yes"
"2694","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_Higher","_no","_no","_no","_no","_yes","_no"
"2717","0","female","_small","_no","_divorced/separated/widowed","_yes","_normal_weight","_4th_quantile","_no","_no","_no","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"2739","0","female","_medium","_no","_divorced/separated/widowed","_no","_normal_weight","_4th_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_Higher","_yes","_yes","_yes","_yes","_yes","_yes"
"2761","0","female","_many","_no","_single","_yes","_normal_weight","_2nd_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_below_40","_Higher","_no","_no","_yes","_no","_no","_no"
"2765","0","female","_small","_no","_married","_no","_overweight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_above_60","_middle","_no","_no","_no","_no","_no","_no"
"2774","0","female","_small","_no","_married","_yes","_normal_weight","_3rd_quantile","_no","_yes","_yes","_no","_no","_yes"," city 100-200 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_no"
"2781","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_no","_no","_no","_no","_no","_no"," city 100-200 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"2834","0","female","_many","_no","_married","_yes","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_Primary","_no","_no","_no","_no","_no","_no"
"2839","0","female","_small","_no","_divorced/separated/widowed","_no","_overweight","_2nd_quantile","_yes","_no","_no","_no","_no","_no"," city 20-100 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
"2856","0","female","_many","_no","_divorced/separated/widowed","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_no","_no","_no","_no","_yes","_no"
